"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",1325,"Brong Ahafo","2005",0.00,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2005",0.46,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2005",4.92,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2005",24.03,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2005",3.13,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2005",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2005",0.33,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2005",4.56,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2005",0.07,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2004",62.82,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2004",29.42,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2004",61.24,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2004",42.30,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2004",3.32,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2004",12.42,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2004",2.09,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2004",4.44,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2004",20.17,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2004",76.91,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2003",9.20,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2003",26.31,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2003",0.54,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2003",2.05,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2003",0.00,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2003",0.39,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2003",1.76,"VHI % below 35 "
